r,phi,final,flat,deflection,,phi_gr,,,,
"1,6",0,-1000,0,1000,,"0,8131653952","0,6872023273",,"0,7751933733","0,7142857143"
"1,6","0,0174533",-1000,"0,0246821","1000,02",,"0,8131653952",,,,
"1,6","0,0349066",-1000,"0,0493604","1000,05",,"0,8131653952",,,,
"1,6","0,0523599",-1000,"0,0740311","1000,07",,"0,8131653952",,,,
"1,6","0,0698132",-1000,"0,0986907","1000,1",,"0,8131653952",,,,
"1,6","0,0872665",-1000,"0,123335","1000,12",,"0,8131653952",,,,
"1,6","0,10472",-1000,"0,147961","1000,15",,"0,8131653952",,,,
"1,6","0,122173",-1000,"0,172565","1000,17",,"0,8131653952",,,,
"1,6","0,139626",-1000,"0,197142","1000,2",,"0,8131653952",,,,
"1,6","0,15708",-1000,"0,22169","1000,22",,"0,8131653952",,,,
"1,6","0,174533",-1000,"0,246204","1000,25",,"0,8131653952",,,,
"1,6","0,191986",-1000,"0,270682","1000,27",,"0,8131653952",,,,
"1,6","0,20944",-1000,"0,295119","1000,3",,"0,8131653952",,,,
"1,6","0,226893",-1000,"0,319512","1000,32",,"0,8131653952",,,,
"1,6","0,244346",-1000,"0,343859","1000,34",,"0,8131653952",,,,
"1,6","0,261799",-1000,"0,368154","1000,37",,"0,8131653952",,,,
"1,6","0,279253",-1000,"0,392396","1000,39",,"0,8131653952",,,,
"1,6","0,296706",-1000,"0,41658","1000,42",,"0,8131653952",,,,
"1,6","0,314159",-1000,"0,440705","1000,44",,"0,8131653952",,,,
"1,6","0,331613",-1000,"0,464766","1000,46",,"0,8131653952",,,,
"1,6","0,349066",-1000,"0,48876","1000,49",,"0,8131653952",,,,
"1,6","0,366519",-1000,"0,512685","1000,51",,"0,8131653952",,,,
"1,6","0,383972",-1000,"0,536538","1000,54",,"0,8131653952",,,,
"1,6","0,401426",-1000,"0,560315","1000,56",,"0,8131653952",,,,
"1,6","0,418879",-1000,"0,584015","1000,58",,"0,8131653952",,,,
"1,6","0,436332",-1000,"0,607634","1000,61",,"0,8131653952",,,,
"1,6","0,453786",-1000,"0,63117","1000,63",,"0,8131653952",,,,
"1,6","0,471239",-1000,"0,654621","1000,65",,"0,8131653952",,,,
"1,6","0,488692",-1000,"0,677984","1000,68",,"0,8131653952",,,,
"1,6","0,506145",-1000,"0,701256","1000,7",,"0,8131653952",,,,
"1,6","0,523599",-1000,"0,724436","1000,72",,"0,8131653952",,,,
"1,6","0,541052",-1000,"0,747522","1000,75",,"0,8131653952",,,,
"1,6","0,558505",-1000,"0,77051","1000,77",,"0,8131653952",,,,
"1,6","0,575959",-1000,"0,793401","1000,79",,"0,8131653952",,,,
"1,6","0,593412",-1000,"0,81619","1000,82",,"0,8131653952",,,,
"1,6","0,610865",-1000,"0,838878","1000,84",,"0,8131653952",,,,
"1,6","0,628319",-1000,"0,861462","1000,86",,"0,8131653952",,,,
"1,6","0,645772",-1000,"0,88394","1000,88",,"0,8131653952",,,,
"1,6","0,663225",-1000,"0,906311","1000,91",,"0,8131653952",,,,
"1,6","0,680678",-1000,"0,928574","1000,93",,"0,8131653952",,,,
"1,6","0,698132",-1000,"0,950727","1000,95",,"0,8131653952",,,,
"1,6","0,715585",-1000,"0,972769","1000,97",,"0,8131653952",,,,
"1,6","0,733038",-1000,"0,994699","1000,99",,"0,8131653952",,,,
"1,6","0,750492","-3,06104","1,01652","4,07756",,"0,8131653952",,,,
"1,6","0,767945","-1,9024","1,03822","2,94062",,"0,8131653952",,,,
"1,6","0,785398","-1,38023","1,05981","2,44004",,"0,8131653952",,,,
"1,6","0,802851","-1,03848","1,08128","2,11975",,"0,8131653952",,,,
"1,6","0,820305","-0,78354","1,10263","1,88617",,"0,8131653952",,,,
"1,6","0,837758","-0,579784","1,12387","1,70365",,"0,8131653952",,,,
"1,6","0,855211","-0,409791","1,14499","1,55478",,"0,8131653952",,,,
"1,6","0,872665","-0,263741","1,16599","1,42973",,"0,8131653952",,,,
"1,6","0,890118","-0,135552","1,18687","1,32243",,"0,8131653952",,,,
"1,6","0,907571","-0,0211982","1,20764","1,22884",,"0,8131653952",,,,
"1,6","0,925025","0,0821219","1,22828","1,14616",,"0,8131653952",,,,
"1,6","0,942478","0,176437","1,24881","1,07237",,"0,8131653952",,,,
"1,6","0,959931","0,263261","1,26921","1,00595",,"0,8131653952",,,,
"1,6","0,977384","0,343754","1,2895","0,945742",,"0,8131653952",,,,
"1,6","0,994838","0,418827","1,30966","0,890835",,"0,8131653952",,,,
"1,6","1,01229","0,489203","1,32971","0,840504",,"0,8131653952",,,,
"1,6","1,02974","0,55547","1,34963","0,794163",,"0,8131653952",,,,
"1,6","1,0472","0,618109","1,36944","0,751329",,"0,8131653952",,,,
"1,6","1,06465","0,677523","1,38912","0,711602",,"0,8131653952",,,,
"1,6","1,0821","0,734047","1,40869","0,674645",,"0,8131653952",,,,
"1,6","1,09956","0,787969","1,42814","0,640172",,"0,8131653952",,,,
"1,6","1,11701","0,839532","1,44747","0,607939",,"0,8131653952",,,,
"1,6","1,13446","0,888948","1,46668","0,577735",,"0,8131653952",,,,
"1,6","1,15192","0,936401","1,48578","0,549377",,"0,8131653952",,,,
"1,6","1,16937","0,98205","1,50476","0,522706",,"0,8131653952",,,,
"1,6","1,18682","1,02604","1,52362","0,49758",,"0,8131653952",,,,
"1,6","1,20428","1,06848","1,54236","0,473877",,"0,8131653952",,,,
"1,6","1,22173","1,10951","1,56099","0,451485",,"0,8131653952",,,,
"1,6","1,23918","1,1492","1,57951","0,430306",,"0,8131653952",,,,
"1,6","1,25664","1,18766","1,59791","0,410252",,"0,8131653952",,,,
"1,6","1,27409","1,22495","1,6162","0,391244",,"0,8131653952",,,,
"1,6","1,29154","1,26116","1,63437","0,37321",,"0,8131653952",,,,
"1,6","1,309","1,29635","1,65244","0,356086",,"0,8131653952",,,,
"1,6","1,32645","1,33058","1,67039","0,339812",,"0,8131653952",,,,
"1,6","1,3439","1,3639","1,68823","0,324335",,"0,8131653952",,,,
"1,6","1,36136","1,39636","1,70597","0,309606",,"0,8131653952",,,,
"1,6","1,37881","1,42802","1,7236","0,295579",,"0,8131653952",,,,
"1,6","1,39626","1,4589","1,74111","0,282214",,"0,8131653952",,,,
"1,6","1,41372","1,48906","1,75853","0,269471",,"0,8131653952",,,,
"1,6","1,43117","1,51852","1,77584","0,257317",,"0,8131653952",,,,
"1,6","1,44862","1,54732","1,79304","0,245718",,"0,8131653952",,,,
"1,6","1,46608","1,5755","1,81014","0,234644",,"0,8131653952",,,,
"1,6","1,48353","1,60307","1,82714","0,224068",,"0,8131653952",,,,
"1,6","1,50098","1,63007","1,84404","0,213963",,"0,8131653952",,,,
"1,6","1,51844","1,65653","1,86083","0,204306",,"0,8131653952",,,,
"1,6","1,53589","1,68246","1,87753","0,195072",,"0,8131653952",,,,
"1,6","1,55334","1,70789","1,89413","0,186242",,"0,8131653952",,,,
"1,6","1,5708","1,73284","1,91063","0,177795",,"0,8131653952",,,,
"1,6","1,58825","1,75733","1,92704","0,169713",,"0,8131653952",,,,
"1,6","1,6057","1,78137","1,94335","0,161979",,"0,8131653952",,,,
"1,6","1,62316","1,805","1,95957","0,154575",,"0,8131653952",,,,
"1,6","1,64061","1,82821","1,9757","0,147488",,"0,8131653952",,,,
"1,6","1,65806","1,85103","1,99174","0,140701",,"0,8131653952",,,,
"1,6","1,67552","1,87348","2,00768","0,134202",,"0,8131653952",,,,
"1,6","1,69297","1,89556","2,02354","0,127978",,"0,8131653952",,,,
"1,6","1,71042","1,91729","2,03931","0,122015",,"0,8131653952",,,,
"1,6","1,72788","1,93869","2,05499","0,116304",,"0,8131653952",,,,
"1,6","1,74533","1,95975","2,07059","0,110833",,"0,8131653952",,,,
"1,6","1,76278","1,98051","2,0861","0,105591",,"0,8131653952",,,,
"1,6","1,78024","2,00096","2,10153","0,10057",,"0,8131653952",,,,
"1,6","1,79769","2,02112","2,11688","0,0957584",,"0,8131653952",,,,
"1,6","1,81514","2,041","2,13214","0,0911489",,"0,8131653952",,,,
